ZipCode,route_min_distance,ramp_min_distance,route_lines,ramp_lines
33527,"{'ZipCode': '33527', 'min_distance': np.float64(2546.4718720391893), 'nearest_point': <POINT (-9152756.478 3248223.35)>}","{'ZipCode': '33527', 'min_distance': np.float64(6961.365635579278), 'nearest_point': <POINT (-9155422.607 3251873.738)>}","LINESTRING (-9152076.337922387 3245769.387818883, -9152756.477965817 3248223.3496189956)","LINESTRING (-9152076.337922387 3245769.387818883, -9155422.607046293 3251873.7382726674)"
33604,"{'ZipCode': '33604', 'min_distance': np.float64(150.3319709642986), 'nearest_point': <POINT (-9178853.795 3251086.234)>}","{'ZipCode': '33604', 'min_distance': np.float64(657.8222857010418), 'nearest_point': <POINT (-9178927.765 3251739.052)>}","LINESTRING (-9179004.125824807 3251085.6764009194, -9178853.794889092 3251086.234308575)","LINESTRING (-9179004.125824807 3251085.6764009194, -9178927.765472274 3251739.0516806217)"
33621,"{'ZipCode': '33621', 'min_distance': np.float64(3062.7398302442557), 'nearest_point': <POINT (-9184566.996 3232245.15)>}","{'ZipCode': '33621', 'min_distance': np.float64(6426.674836515298), 'nearest_point': <POINT (-9184674.629 3235630.778)>}","LINESTRING (-9183951.256572474 3229244.943443684, -9184566.99582811 3232245.150176033)","LINESTRING (-9183951.256572474 3229244.943443684, -9184674.6291846 3235630.777885503)"
33563,"{'ZipCode': '33563', 'min_distance': np.float64(115.37876184607758), 'nearest_point': <POINT (-9142640.131 3251107.98)>}","{'ZipCode': '33563', 'min_distance': np.float64(2204.9823229021235), 'nearest_point': <POINT (-9142076.536 3253355.664)>}","LINESTRING (-9142637.902143244 3251223.337330034, -9142640.131115323 3251107.980100661)","LINESTRING (-9142637.902143244 3251223.337330034, -9142076.536420729 3253355.663658225)"
33610,"{'ZipCode': '33610', 'min_distance': np.float64(111.63226210531279), 'nearest_point': <POINT (-9170539.305 3248498.408)>}","{'ZipCode': '33610', 'min_distance': np.float64(1210.9392853687377), 'nearest_point': <POINT (-9169869.694 3247601.088)>}","LINESTRING (-9170539.3129104 3248610.0399590675, -9170539.304847127 3248498.4076972534)","LINESTRING (-9170539.3129104 3248610.0399590675, -9169869.69387201 3247601.087880783)"
33606,"{'ZipCode': '33606', 'min_distance': np.float64(1220.301739118357), 'nearest_point': <POINT (-9180136.855 3241732.987)>}","{'ZipCode': '33606', 'min_distance': np.float64(1364.5202325959126), 'nearest_point': <POINT (-9179608.739 3241784.916)>}","LINESTRING (-9180103.231193967 3240513.1485599377, -9180136.854890153 3241732.9869843)","LINESTRING (-9180103.231193967 3240513.1485599377, -9179608.739075018 3241784.9162311186)"
33609,"{'ZipCode': '33609', 'min_distance': np.float64(240.16443864709322), 'nearest_point': <POINT (-9185420.23 3242020.417)>}","{'ZipCode': '33609', 'min_distance': np.float64(1121.0655183415922), 'nearest_point': <POINT (-9185361.542 3242899.762)>}","LINESTRING (-9185420.588369489 3241780.252772482, -9185420.23047396 3242020.416944459)","LINESTRING (-9185420.588369489 3241780.252772482, -9185361.54171651 3242899.762213794)"
33620,"{'ZipCode': '33620', 'min_distance': np.float64(866.5436510968683), 'nearest_point': <POINT (-9173874.015 3257689.393)>}","{'ZipCode': '33620', 'min_distance': np.float64(5014.638366383817), 'nearest_point': <POINT (-9178815.617 3257715.706)>}","LINESTRING (-9173881.099937601 3256822.8781529786, -9173874.014691079 3257689.392837527)","LINESTRING (-9173881.099937601 3256822.8781529786, -9178815.616766183 3257715.706027797)"
33569,"{'ZipCode': '33569', 'min_distance': np.float64(4326.5146015035625), 'nearest_point': <POINT (-9164572.301 3229875.116)>}","{'ZipCode': '33569', 'min_distance': np.float64(6522.433294611693), 'nearest_point': <POINT (-9166745.222 3230342.589)>}","LINESTRING (-9160246.744716289 3229784.0788512053, -9164572.301413907 3229875.116495692)","LINESTRING (-9160246.744716289 3229784.0788512053, -9166745.221684756 3230342.588629956)"
33584,"{'ZipCode': '33584', 'min_distance': np.float64(131.6069468575175), 'nearest_point': <POINT (-9160349.41 3249536.122)>}","{'ZipCode': '33584', 'min_distance': np.float64(1490.7800893715064), 'nearest_point': <POINT (-9161866.39 3249747.711)>}","LINESTRING (-9160377.928345123 3249664.6017003115, -9160349.409856545 3249536.121801999)","LINESTRING (-9160377.928345123 3249664.6017003115, -9161866.390019543 3249747.7107771253)"
