Logging started. Output will be saved to /workspaces/OSMTampaMapping/data/results/evacuation_log.txt
Starting evacuation analysis at 2025-04-03 15:21:48
Loaded graph from /workspaces/OSMTampaMapping/data/evacuation_graph.pickle
Assigning road capacities and population data...
Loaded population data for 55 zip codes
Loaded capacity data for 12 sink nodes
Updated 162622 edges with capacity attributes
Updated 51 centroids with population demand
Updated 12 sink nodes with capacity values from sink_nodes.json

===== COMPARING CONGESTION SCENARIOS =====
Scenario            | Congestion Factor | Evacuation Time (hours)
-------------------|-------------------|---------------------
Running scenario: free_flow (factor: 0.7)...
Calculating evacuation flow and time for free_flow scenario...
Calculating optimal evacuation paths using bi-level min-cost flow approach...
Planning optimal evacuation for 1,483,281 people from 51 zip codes
Total sink capacity: 47,999,976 (should be >= population)
Creating simplified evacuation network...
Pre-calculating shortest paths between all sources and sinks...
Processing source 1/51: 33527
Processing source 11/51: 33613
Processing source 21/51: 33566
Processing source 31/51: 33626
Processing source 41/51: 33549
Processing source 51/51: 33548
Setting up min-cost flow solver...
Solver balance check: Supply=1483281, Demand=1483281, Difference=0
Solving min-cost flow with 64 nodes and 624 arcs...
Min-cost flow solver found optimal solution!
  Flow: 33527 → 33540: 3,542 people (40.5 km)
  Flow: 33527 → 33811: 6,400 people (28.6 km)
  Flow: 33527 → 33815: 6,400 people (28.5 km)
  Flow: 33604 → 33541: 8,000 people (43.8 km)
  Flow: 33604 → 33544: 16,000 people (32.7 km)
  Flow: 33604 → 33540: 328 people (49.4 km)
  Flow: 33604 → 34638: 8,000 people (39.4 km)
  Flow: 33604 → 34655: 8,000 people (43.3 km)
  Flow: 33621 → 34638: 2,309 people (55.0 km)
  Flow: 33563 → 33540: 10,874 people (26.8 km)
  Flow: 33563 → 33811: 8,000 people (15.5 km)
  Flow: 33563 → 33815: 8,000 people (15.3 km)
  Flow: 33610 → 33541: 4,000 people (37.7 km)
  Flow: 33610 → 33544: 4,000 people (36.3 km)
  Flow: 33610 → 33540: 4,000 people (41.6 km)
  Flow: 33610 → 33811: 4,000 people (43.8 km)
  Flow: 33610 → 33815: 4,000 people (43.6 km)
  Flow: 33610 → 33849: 4,000 people (48.5 km)
  Flow: 33610 → 33860: 4,000 people (57.1 km)
  Flow: 33610 → 34221: 1,622 people (63.3 km)
  Flow: 33610 → 34638: 8,000 people (49.7 km)
  Flow: 33610 → 34655: 8,000 people (53.6 km)
  Flow: 33606 → 33541: 2,546 people (51.5 km)
  Flow: 33606 → 33544: 8,000 people (47.6 km)
  Flow: 33606 → 34638: 12,000 people (51.5 km)
  Flow: 33609 → 33544: 2,411 people (48.0 km)
  Flow: 33609 → 34638: 12,000 people (43.3 km)
  Flow: 33609 → 34655: 4,000 people (46.6 km)
  Flow: 33620 → 33544: 6,451 people (29.0 km)
  Flow: 33569 → 33811: 6,189 people (55.9 km)
